Unnamed: 0,player,span,mat,wickets,econ,sr,start_year,end_year,career_length,is_wicket_taker,is_economist,is_experienced,role,predicted_role
0,DJ Bravo,2007-2024,433,496,8.42,16.9,2007,2024,18,True,False,True,Experienced Wicket Taker,Experienced Wicket Taker
1,SP Narine,2011-2025,409,442,6.09,21.3,2011,2025,15,False,True,True,Experienced Economist,Experienced Economist
2,Rashid Khan,2016-2025,314,408,6.52,17.8,2016,2025,10,True,True,True,Experienced Elite Bowler,Experienced Elite Bowler
3,AD Russell,2012-2025,392,364,8.75,16.4,2012,2025,14,True,False,True,Experienced Wicket Taker,Experienced Wicket Taker
4,Shakib Al Hasan,2007-2024,308,330,6.88,19.3,2007,2024,18,False,True,True,Experienced Economist,Experienced Economist
5,PP Chawla,2007-2024,293,316,7.56,19.3,2007,2024,18,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
6,Imran Tahir,2013-2025,226,303,6.92,16.2,2013,2025,13,True,True,True,Experienced Elite Bowler,Experienced Elite Bowler
7,A Mishra,2007-2024,253,277,7.19,18.6,2007,2024,18,False,True,True,Experienced Economist,Experienced Economist
8,YS Chahal,2009-2025,239,275,7.45,18.4,2009,2025,17,False,True,True,Experienced Economist,Experienced Economist
9,R Ashwin,2007-2025,286,271,7.09,22.6,2007,2025,19,False,True,True,Experienced Economist,Experienced Economist
10,SL Malinga,2007-2019,195,263,7.11,16.6,2007,2019,13,True,True,True,Experienced Elite Bowler,Experienced Elite Bowler
11,JJ Bumrah,2013-2024,181,232,6.97,17.8,2013,2024,12,True,True,True,Experienced Elite Bowler,Experienced Elite Bowler
12,B Kumar,2009-2025,221,227,7.3,21.2,2009,2025,17,False,True,True,Experienced Economist,Experienced Economist
13,JD Unadkat,2010-2024,192,226,8.03,18.1,2010,2024,15,True,False,True,Experienced Wicket Taker,Experienced Wicket Taker
14,Mohammad Amir,2009-2024,189,223,7.1,18.5,2009,2024,16,False,True,True,Experienced Economist,Experienced Economist
15,A Zampa,2012-2025,181,223,7.38,17.5,2012,2025,14,True,True,True,Experienced Elite Bowler,Experienced Elite Bowler
16,Harbhajan Singh,2007-2021,251,222,6.86,23.1,2007,2021,15,False,True,True,Experienced Economist,Experienced Economist
17,HV Patel,2011-2025,177,217,8.25,16.6,2011,2025,15,True,False,True,Experienced Wicket Taker,Experienced Wicket Taker
18,Sandeep Sharma,2013-2025,197,217,7.59,19.9,2013,2025,13,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
19,Mustafizur Rahman,2015-2025,176,210,7.59,18.5,2015,2025,11,False,False,True,Experienced Balanced Bowler,Experienced Wicket Taker
20,AJ Tye,2014-2025,153,209,8.19,15.7,2014,2025,12,True,False,True,Experienced Wicket Taker,Experienced Wicket Taker
21,Wahab Riaz,2014-2023,164,209,7.75,17.1,2014,2023,10,True,False,True,Experienced Wicket Taker,Experienced Wicket Taker
22,Mohammed Shami,2010-2025,160,197,8.1,17.5,2010,2025,16,True,False,True,Experienced Wicket Taker,Experienced Wicket Taker
23,Sohail Tanvir,2007-2022,187,197,7.17,20.1,2007,2022,16,False,True,True,Experienced Economist,Experienced Economist
24,RA Jadeja,2007-2025,293,196,7.7,24.1,2007,2025,19,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
25,TA Boult,2014-2025,163,195,7.85,18.7,2014,2025,12,False,False,True,Experienced Balanced Bowler,Experienced Wicket Taker
26,KA Pollard,2009-2024,493,194,8.52,19.8,2009,2024,16,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
27,Mohammad Nabi,2010-2025,231,191,6.9,21.5,2010,2025,16,False,True,True,Experienced Economist,Experienced Economist
28,UT Yadav,2009-2024,185,190,8.3,20.0,2009,2024,16,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
29,Imad Wasim,2016-2024,210,181,6.63,23.4,2016,2024,9,False,True,True,Experienced Economist,Experienced Economist
30,R Vinay Kumar,2007-2019,170,181,7.86,19.2,2007,2019,13,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
31,SR Watson,2007-2020,297,180,8.04,21.1,2007,2020,14,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
32,AR Patel,2013-2025,218,179,7.0,25.1,2013,2025,13,False,True,True,Experienced Economist,Experienced Economist
33,K Rabada,2016-2025,132,179,8.29,16.2,2016,2025,10,True,False,True,Experienced Wicket Taker,Experienced Wicket Taker
34,S Kaul,2012-2023,142,178,7.65,17.2,2012,2023,12,True,False,True,Experienced Wicket Taker,Experienced Wicket Taker
35,SA Abbott,2011-2025,127,176,8.52,14.5,2011,2025,15,True,False,True,Experienced Wicket Taker,Experienced Wicket Taker
36,Shahid Afridi,2007-2022,166,176,6.96,19.7,2007,2022,16,False,True,True,Experienced Economist,Experienced Economist
37,NLTC Perera,2009-2025,249,175,8.63,19.3,2009,2025,17,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
38,Shadab Khan,2017-2024,148,175,7.23,17.9,2017,2024,8,True,True,True,Experienced Elite Bowler,Experienced Elite Bowler
39,JP Behrendorff,2012-2025,138,174,7.45,17.1,2012,2025,14,True,True,True,Experienced Elite Bowler,Experienced Elite Bowler
40,KK Cooper,2011-2018,140,172,7.4,16.7,2011,2018,8,True,True,True,Experienced Elite Bowler,Experienced Elite Bowler
41,JP Faulkner,2011-2022,153,172,8.14,17.8,2011,2022,12,True,False,True,Experienced Wicket Taker,Experienced Wicket Taker
42,Fawad Ahmed,2013-2023,166,169,6.99,21.2,2013,2023,11,False,True,True,Experienced Economist,Experienced Economist
43,SN Thakur,2015-2025,154,169,8.94,18.4,2015,2025,11,False,False,True,Experienced Balanced Bowler,Experienced Wicket Taker
44,DW Steyn,2008-2021,156,167,6.94,20.7,2008,2021,14,False,True,True,Experienced Economist,Experienced Economist
45,JO Holder,2013-2025,179,166,8.19,21.6,2013,2025,13,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
46,CJ Jordan,2014-2025,155,166,8.77,18.9,2014,2025,12,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
47,Mujeeb Ur Rahman,2017-2025,152,163,6.65,21.5,2017,2025,9,False,True,True,Experienced Economist,Experienced Economist
48,KW Richardson,2011-2025,135,163,7.96,17.6,2011,2025,15,True,False,True,Experienced Wicket Taker,Experienced Wicket Taker
49,MM Sharma,2013-2025,163,163,8.46,19.7,2013,2025,13,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
50,Taskin Ahmed,2013-2025,120,161,7.84,15.6,2013,2025,13,True,False,True,Experienced Wicket Taker,Experienced Wicket Taker
51,DT Christian,2010-2025,221,158,8.26,20.3,2010,2025,16,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
52,NM Coulter-Nile,2011-2024,132,158,7.52,18.1,2011,2024,14,True,False,True,Experienced Wicket Taker,Experienced Balanced Bowler
53,PW Hasaranga,2017-2025,103,158,6.94,14.0,2017,2025,9,True,True,True,Experienced Elite Bowler,Experienced Elite Bowler
54,CJ Green,2015-2025,194,157,6.85,24.3,2015,2025,11,False,True,True,Experienced Economist,Experienced Economist
55,KV Sharma,2007-2024,178,154,7.69,20.5,2007,2024,18,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
56,Mohammed Siraj,2016-2025,132,153,8.25,18.4,2016,2025,10,False,False,True,Experienced Balanced Bowler,Experienced Wicket Taker
57,PP Ojha,2007-2018,139,153,7.24,18.5,2007,2018,12,False,True,True,Experienced Economist,Experienced Elite Bowler
58,DS Kulkarni,2007-2023,160,151,7.88,21.4,2007,2023,17,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
59,CR Brathwaite,2013-2024,168,149,8.28,19.5,2013,2024,12,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
60,IK Pathan,2007-2020,165,149,7.58,21.8,2007,2020,14,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
61,BJ Dwarshuis,2014-2025,117,148,8.12,16.6,2014,2025,12,True,False,True,Experienced Wicket Taker,Experienced Wicket Taker
62,Hasan Ali,2016-2024,112,147,7.95,17.3,2016,2024,9,True,False,True,Experienced Wicket Taker,Experienced Wicket Taker
63,Kuldeep Yadav,2014-2025,129,147,7.65,18.7,2014,2025,12,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
64,DL Chahar,2010-2025,131,146,7.71,18.9,2010,2025,16,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
65,Haris Rauf,2018-2024,118,146,8.3,17.9,2018,2024,7,True,False,True,Experienced Wicket Taker,Experienced Wicket Taker
66,I Sharma,2007-2025,165,146,7.8,23.6,2007,2025,19,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
